province,cultivated_areas,harvested_area,product,rain,fertilizer_price,oil_price,plant_price,year,type
อํานาจเจริญ,963595,893872,308432,0,15922.24,38.4,7.82,2557,ข้าว
อุบลราชธานี,3862296,3654003,1201818,1880.9,15922.24,38.4,7.82,2557,ข้าว
ศรีสะเกษ,3001190,2950279,1076541,1147.3,15922.24,38.4,7.82,2557,ข้าว
สุรินทร์,3162849,3106496,1176400,1388.5,15922.24,38.4,7.82,2557,ข้าว
บุรีรัมย์,2761475,2604699,992500,1206.2,15922.24,38.4,7.82,2557,ข้าว
มหาสารคาม,2183398,2095471,770968,1493.7,15922.24,38.4,7.82,2557,ข้าว
ร้อยเอ็ด,3077638,2985251,1118021,1436.6,15922.24,38.4,7.82,2557,ข้าว
กาฬสินธุ์,1480070,1460052,535653,1377,15922.24,38.4,7.82,2557,ข้าว
ขอนแก่น,2428350,2014350,684263,973.1,15922.24,38.4,7.82,2557,ข้าว
ชัยภูมิ,1597278,1303960,460261,793.5,15922.24,38.4,7.82,2557,ข้าว
นครราชสีมา,3510629,2974684,1064465,976.7,15922.24,38.4,7.82,2557,ข้าว
สระบุรี,357841,354263,233361,0,15922.24,38.4,7.82,2557,ข้าว
ลพบุรี,675396,620509,347528,900.7,15922.24,38.4,7.82,2557,ข้าว
สิงห์บุรี,307583,307432,208795,0,15922.24,38.4,7.82,2557,ข้าว
ชัยนาท,770380,757200,513783,955.5,15922.24,38.4,7.82,2557,ข้าว
สุพรรณบุรี,1306418,1306062,960958,953.7,15922.24,38.4,7.82,2557,ข้าว
อ่างทอง,358242,354374,231781,0,15922.24,38.4,7.82,2557,ข้าว
พระนครศรีอยุธยา,822025,813631,533878,779.2,15922.24,38.4,7.82,2557,ข้าว
นนทบุรี,102229,102052,71500,0,15922.24,38.4,7.82,2557,ข้าว
กรงุเทพมหานคร,96509,96470,64380,1130.1,15922.24,38.4,7.82,2557,ข้าว
ปทุมธานี,313747,313532,219638,967.3,15922.24,38.4,7.82,2557,ข้าว
นครนายก,401618,399860,230653,0,15922.24,38.4,7.82,2557,ข้าว
ปราจีนบุรี,480367,476307,207906,1494.1,15922.24,38.4,7.82,2557,ข้าว
ฉะเชิงเทรา,728546,724193,468705,1521.3,15922.24,38.4,7.82,2557,ข้าว
สระแก้ว,794898,770105,252139,1206.5,15922.24,38.4,7.82,2557,ข้าว
จันทบุรี,21294,21022,7836,2768.7,15922.24,38.4,7.82,2557,ข้าว
ตราด,17840,17648,7409,5143.9,15922.24,38.4,7.82,2557,ข้าว
ระยอง,20950,20829,9825,1049.9,15922.24,38.4,7.82,2557,ข้าว
ชลบุรี,79597,78748,38588,1115.8,15922.24,38.4,7.82,2557,ข้าว
สมุทรปราการ,38389,38287,30522,1215.8,15922.24,38.4,7.82,2557,ข้าว
